Id;Topic;Min Type;Min Value;Max Type;Max Value;Type;Unit;Current Type;Current Value;Column1
UPDATE_PENDING;device/status/MEQ0863017/0/UPDATE_PENDING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
HUMIDITY;device/status/MEQ0863017/1/HUMIDITY;Number;0;Number;99;INTEGER;%;Number;69;
TEMPERATURE;device/status/MEQ0863017/1/TEMPERATURE;Number;-10;Number;50;FLOAT;°C;Number;25;
ACTUAL_HUMIDITY;device/status/MEQ0863017/2/ACTUAL_HUMIDITY;Number;0;Number;99;FLOAT;%;Number;69;
ACTUAL_TEMPERATURE;device/status/MEQ0863017/2/ACTUAL_TEMPERATURE;Number;-10;Number;50;FLOAT;°C;Number;25;
AUTO_MODE;device/status/MEQ0863017/2/AUTO_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
BATTERY_STATE;device/status/MEQ0863017/2/BATTERY_STATE;Number;45047;Number;45081;FLOAT;V;Number;45079;
BOOST_MODE;device/status/MEQ0863017/2/BOOST_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
BOOST_STATE;device/status/MEQ0863017/2/BOOST_STATE;Number;0;Number;30;INTEGER;min;Number;0;
COMFORT_MODE;device/status/MEQ0863017/2/COMFORT_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
COMMUNICATION_REPORTING;device/status/MEQ0863017/2/COMMUNICATION_REPORTING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
CONTROL_MODE;device/status/MEQ0863017/2/CONTROL_MODE;Number;0;Number;3;ENUM;;Number;0;
LOWBAT_REPORTING;device/status/MEQ0863017/2/LOWBAT_REPORTING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
LOWERING_MODE;device/status/MEQ0863017/2/LOWERING_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
MANU_MODE;device/status/MEQ0863017/2/MANU_MODE;Number;45050;Number;45076;FLOAT;°C;Number;0;
PARTY_MODE_SUBMIT;device/status/MEQ0863017/2/PARTY_MODE_SUBMIT;String;;String;;STRING;;String;;
PARTY_START_DAY;device/status/MEQ0863017/2/PARTY_START_DAY;Number;1;Number;31;INTEGER;day;Number;1;
PARTY_START_MONTH;device/status/MEQ0863017/2/PARTY_START_MONTH;Number;1;Number;12;INTEGER;month;Number;1;
PARTY_START_TIME;device/status/MEQ0863017/2/PARTY_START_TIME;Number;0;Number;1410;INTEGER;minutes;Number;0;
PARTY_START_YEAR;device/status/MEQ0863017/2/PARTY_START_YEAR;Number;0;Number;99;INTEGER;year;Number;0;
PARTY_STOP_DAY;device/status/MEQ0863017/2/PARTY_STOP_DAY;Number;1;Number;31;INTEGER;day;Number;1;
